code,big_o_label
"def op_add(a, b): return a + b",O(1)
def get_first(lst): return lst[0] if lst else None,O(1)
"def get_val(d, k): return d.get(k, 0)",O(1)
"def swap(x, y): temp = x; x = y; y = temp; return x, y",O(1)
def compute_area(r): return 3.14159 * r * r,O(1)
"def check_flag(config): return config.get('active', False) or config.get('debug', False)",O(1)
def check_even(n): return n % 2 == 0,O(1)
def sign(val): return 1 if val > 0 else (-1 if val < 0 else 0),O(1)
"def constant_loop():
    total = 0
    for i in range(10):
        total += i
    return total",O(1)
"def complex_o1(x, y):
    z = x + y
    w = x * y
    if z > w:
        return z - w
    else:
        return w - z",O(1)
"def lookup_phone(directory, name): return directory[name] if name in directory else None",O(1)
"def distance(p1, p2): return ((p1[0]-p2[0])**2 + (p1[1]-p2[1])**2)**0.5",O(1)
"def get_head_tail(arr): return arr[0], arr[-1] if len(arr) > 0 else (None, None)",O(1)
"def bitwise_op(x, y): return (x & y) | (x ^ y)",O(1)
def convert_temp(c): return c * 9/5 + 32,O(1)
def is_leap_year(year): return (year % 4 == 0 and year % 100 != 0) or (year % 400 == 0),O(1)
def volume_sphere(radius): return (4/3) * 3.14159 * (radius ** 3),O(1)
"def quadratic_formula(a, b, c): d = b**2 - 4*a*c; return (-b + d**0.5)/(2*a), (-b - d**0.5)/(2*a)",O(1)
"def extract_meta(info): return {'id': info.id, 'name': info.name, 'created': True}",O(1)
"def constant_matrix_mult(m1, m2):
    res = [[0, 0], [0, 0]]
    for i in range(2):
        for j in range(2):
            for k in range(2):
                res[i][j] += m1[i][k] * m2[k][j]
    return res",O(1)
"def dict_contains(d, k): return k in d",O(1)
"def access_field(obj): return obj.field if hasattr(obj, 'field') else None",O(1)
def is_positive(x): return x > 0,O(1)
"def combine_hashes(h1, h2): return h1 ^ h2",O(1)
"def modulo_check(val, divisor): return val % divisor == 0",O(1)
def compute_tax(income): return income * 0.15 if income < 50000 else income * 0.25,O(1)
"def check_inside_bounds(x, y, w, h): return 0 <= x < w and 0 <= y < h",O(1)
"def simple_string_format(name, age): return f'Name: {name}, Age: {age}'",O(1)
"def compute_discount(price, pct): return price * (1.0 - pct)",O(1)
def is_empty_check(s): return len(s) == 0,O(1)
